date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2004-08-10,-0.34,3.6,3.25,neg_then_up,negative,up
2004-11-09,0.98,0.16,1.14,pos_then_up,positive,up
2005-02-08,-0.05,-0.99,-1.04,neg_then_down,negative,down
2005-05-10,-0.39,-0.86,-1.24,neg_then_down,negative,down
2005-08-09,-0.03,-1.67,-1.7,neg_then_down,negative,down
2005-11-08,0.2,-0.12,0.09,pos_then_down,positive,down
2006-02-07,2.13,-1.73,0.36,pos_then_down,positive,down
2006-05-09,-0.47,-0.08,-0.55,neg_then_down,negative,down
2006-08-08,0.4,1.1,1.51,pos_then_up,positive,up
2006-11-07,-0.14,0.45,0.31,neg_then_up,negative,up
2007-02-06,0.43,1.49,1.93,pos_then_up,positive,up
2007-05-08,-0.49,-0.49,-0.98,neg_then_down,negative,down
2007-08-07,0.84,-0.46,0.38,pos_then_down,positive,down
2007-11-06,-0.59,-0.51,-1.1,neg_then_down,negative,down
2008-02-05,0.73,-2.0,-1.28,pos_then_down,positive,down
2008-05-06,-0.09,-0.93,-1.02,neg_then_down,negative,down
2008-08-04,-0.1,4.64,4.53,neg_then_up,negative,up
2008-11-04,0.5,-3.86,-3.38,pos_then_down,positive,down
2009-02-05,-0.25,1.89,1.64,neg_then_up,negative,up
2009-05-05,1.0,-1.39,-0.4,pos_then_down,positive,down
2009-08-04,-0.29,-1.07,-1.36,neg_then_down,negative,down
2009-11-03,0.8,-0.97,-0.17,pos_then_down,positive,down
2010-02-09,0.09,-1.05,-0.96,pos_then_down,positive,down
2010-08-05,-0.16,0.1,-0.06,neg_then_up,negative,up
2010-11-09,0.09,1.26,1.35,pos_then_up,positive,up
2011-02-08,0.32,0.73,1.05,pos_then_up,positive,up
2011-05-06,-0.23,0.5,0.27,neg_then_up,negative,up
2011-08-04,1.07,1.61,2.69,pos_then_up,positive,up
2011-11-04,0.78,-1.07,-0.3,pos_then_down,positive,down
2012-02-07,-0.5,0.42,-0.08,neg_then_up,negative,up
2012-05-04,-0.37,1.99,1.61,neg_then_up,negative,up
2012-08-07,1.92,-0.58,1.33,pos_then_down,positive,down
2012-11-05,0.62,-0.73,-0.12,pos_then_down,positive,down
2013-02-05,0.52,0.56,1.08,pos_then_up,positive,up
2013-05-02,0.61,-0.99,-0.39,pos_then_down,positive,down
2013-08-02,-0.24,0.37,0.13,neg_then_up,negative,up
2013-11-01,0.11,0.14,0.25,pos_then_up,positive,up
2014-02-04,1.16,-2.23,-1.1,pos_then_down,positive,down
2014-05-01,-0.03,0.72,0.69,neg_then_up,negative,up
2014-08-01,-0.02,-0.11,-0.12,neg_then_down,negative,down
2014-11-03,0.19,1.8,2.0,pos_then_up,positive,up
2015-02-03,0.62,0.48,1.1,pos_then_up,positive,up
2015-05-07,0.87,-0.17,0.7,pos_then_down,positive,down
2015-08-04,0.31,1.37,1.68,pos_then_up,positive,up
2015-11-02,-0.21,-1.3,-1.51,neg_then_down,negative,down
2016-02-02,0.54,0.96,1.5,pos_then_up,positive,up
2016-05-05,0.15,1.66,1.81,pos_then_up,positive,up
2016-08-04,0.09,-0.74,-0.65,pos_then_down,positive,down
2016-11-03,0.11,-0.88,-0.77,pos_then_down,positive,down
2017-02-07,0.49,0.69,1.18,pos_then_up,positive,up
2017-08-03,-0.14,-2.53,-2.67,neg_then_down,negative,down
2018-02-05,-1.08,2.05,0.95,neg_then_up,negative,up
2018-05-03,-0.08,-0.34,-0.42,neg_then_down,negative,down
2018-08-02,0.44,0.23,0.67,pos_then_up,positive,up
2018-11-01,0.42,1.41,1.83,pos_then_up,positive,up
2019-02-05,2.12,1.68,3.84,pos_then_up,positive,up
2019-05-02,-1.23,0.81,-0.43,neg_then_up,negative,up
2019-07-31,-0.46,-1.01,-1.47,neg_then_down,negative,down
2019-10-31,-0.13,-1.53,-1.66,neg_then_down,negative,down
2020-01-31,0.69,0.51,1.2,pos_then_up,positive,up
2020-04-30,0.37,1.38,1.76,pos_then_up,positive,up
2020-07-31,-1.18,-1.87,-3.03,neg_then_down,negative,down
2020-10-29,0.14,1.39,1.53,pos_then_up,positive,up
2021-01-29,-0.13,-0.39,-0.52,neg_then_down,negative,down
2021-04-29,0.02,-0.3,-0.28,pos_then_down,positive,down
2021-07-30,-0.35,-0.79,-1.13,neg_then_down,negative,down
2021-10-29,0.58,-0.26,0.32,pos_then_down,positive,down
2022-01-28,-0.49,0.15,-0.34,neg_then_up,negative,up
2022-04-28,-0.9,-1.95,-2.83,neg_then_down,negative,down
2022-07-29,-0.57,1.29,0.72,neg_then_up,negative,up
2022-10-28,0.03,-2.96,-2.93,pos_then_down,positive,down
2023-02-03,1.94,-1.44,0.47,pos_then_down,positive,down
2023-04-27,0.44,-0.62,-0.19,pos_then_down,positive,down
2023-07-28,0.23,-1.75,-1.52,pos_then_down,positive,down
2023-11-03,0.01,0.08,0.09,pos_then_up,positive,up
2024-02-02,0.63,0.18,0.82,pos_then_up,positive,up
2024-05-02,-0.62,0.85,0.22,neg_then_up,negative,up
2024-08-02,0.48,0.93,1.41,pos_then_up,positive,up
2024-11-01,-0.88,-0.84,-1.71,neg_then_down,negative,down
2025-01-31,-0.48,1.35,0.86,neg_then_up,negative,up
2025-05-01,0.4,0.2,0.61,pos_then_up,positive,up
2025-08-01,-0.76,-1.93,-2.67,neg_then_down,negative,down
